ID;Date;ABSTICH m;WASSERTEMPERATUR °C;ELEKTR. LEITF. (bei 25°C) µS/cm;PH-WERT;SAUERSTOFFGEHALT mg/l;GESAMTHAERTE °dH;KARBONATHAERTE °dH;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;CADMIUM mg/l;QUECKSILBER mg/l;ZINK mg/l;KUPFER mg/l;ALUMINIUM mg/l;BLEI mg/l;CHROM-GESAMT (filtriert) mg/l;NICKEL mg/l;ARSEN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;DOC mg/l;AOX µg/l;Dimethachlor Metabolit µg/l
PG32500392;16.03.1999;9,08;8,7;263;6,9;8;5,8;3,4;26,7;9,1;7;2,4;0,014;0,005;0,0002;0;0,021;0,0005;0;0,0014;0,002;0,0021;0,0005;0,011;0,012;0,01;29;14,9;21,2;73;0,143;0,25;5,2;
PG32500392;15.06.1999;9,09;9,5;252;6,6;8,2;5,9;3,2;27;9,1;6,8;2,5;0,02;0;0,0003;0;0,005;0,0005;0,02;0,001;0,002;0,003;0,0005;0,019;0,005;0;29,1;16;18,9;70;0,18;0,5;6;
PG32500392;23.08.1999;8,85;9,6;262;6,8;6,7;5,5;3,2;26;8;7,3;2;0,032;0;;;;;;;;;;0,0159;0,024;0,012;29,2;15,4;18,5;70;0,255;0,25;;
PG32500392;02.12.1999;9,85;9,9;260;6,9;8,9;6,1;3,2;29,4;8,4;7,2;2,3;0,029;0;;;;;;;;;;0,005;0;0;31;17,3;18,2;70;0,154;0,6;;
PG32500392;29.02.2000;9,28;9,3;269;6,8;6,5;5,7;3,2;26,2;9;6,9;2,2;0,015;0;;;;;;;;;;0;0;0;28,7;14,9;19,8;70;0,18;0,6;;
PG32500392;05.06.2000;8,68;9,9;265;6,7;6,1;6;3,2;27,9;9,1;8;2,2;0,01;0;;;;;;;;;;0,005;0;0;30,3;14,8;19,5;71;0,178;0,6;;
PG32500392;23.08.2000;9,13;9,8;269;6,8;6,5;6,2;3,2;28,8;9,4;8;2,53;0,005;0;;;;;;;;;;0,005;0;0;31,7;16,1;21,2;70;0,153;0,25;;
PG32500392;22.11.2000;9,64;9;260;6,8;6,7;5,6;3,1;25,8;8,53;7,9;3,23;0,03;0;;;;;;;;;;0,005;0;0;32,7;15,5;20,6;68;0,136;0,7;;
PG32500392;22.02.2001;9,63;10;265;6,6;7;5,9;3,2;26,9;9,1;7,5;2,51;0,011;0;;;;;;;;;;0;0,005;0;32,9;15,8;21,3;70;0,157;0,7;;
PG32500392;29.05.2001;9,03;10;277;6,8;7;5,8;3,2;26,6;8,8;7,7;2,76;0,029;0;;;;;;;;;;0,005;0;0;30,7;16,2;21,6;70;0,181;2,5;;
PG32500392;28.08.2001;8,19;10,9;274;6,8;7,8;6,4;2,9;31,6;8,5;7,3;2,63;0;0;;;;;;;;;;0,005;0;0;38,4;16,8;21,9;63;0,163;0,6;;
PG32500392;15.11.2001;11,62;9,6;288;6,7;5,7;6,2;3,2;27,8;10,2;7,3;2,77;0,01;0;;;;;;;;;;0;0;0;34,4;17,6;20,1;71;0,164;0,25;;
PG32500392;21.03.2002;11,67;9;288;7;3,4;6,4;3,6;28,6;10,3;6,5;3,11;0;0;;;;;;;;;;0;0;0;38,4;16,5;19,3;78;0,0805;0,25;;
PG32500392;06.06.2002;12,1;11;273;6,7;7,7;6,1;3;27;10,1;8,5;2,28;0,029;0,005;;;;;;;;;;0,005;0;0;34,5;17,3;22,8;65;0,208;0,25;;
PG32500392;29.08.2002;11,66;10,7;282;6,7;9,2;6;3,1;27,8;9,2;8,3;1,96;0;0;;;;;;;;;;0,0107;0;0;33,5;16,6;21;67;0,168;0,6;;
PG32500392;19.11.2002;;10,1;285;6,7;6,2;6;3,1;26,2;10;8,6;4,82;0;0;;;;;;;;;;0,0124;0,005;0,005;37;17,4;23,9;67;0,172;0,6;;
PG32500392;27.02.2003;11,84;9,7;255;6,6;4,4;6;3,2;27,1;9,6;7,3;2,22;0,014;0,005;;;;;;;;;;0,0105;0;0;33,8;17;21,9;70;0,172;0,5;;
PG32500392;22.05.2003;12,32;10,1;290;6,6;8;6,5;3,5;28;11,1;7,9;2,47;0;0;;;;;;;;;;0,0103;0;0;31,8;17,1;18,7;76;0,145;0,5;;
PG32500392;21.08.2003;12,2;12,3;248;6,8;;6,5;2,7;29,6;10,2;7,6;2,5;0,03;0;;;;;;;;;;0;0;0;38,8;17,6;25,4;60;0,134;0,25;;
PG32500392;13.11.2003;6,46;9,9;312;7,2;8,6;7,1;3,8;36,6;8,8;9;2,57;0,022;0;;;;;;;;;;0,0116;0;0;36,4;17,5;22,1;82;0,181;0,5;;
PG32500392;23.02.2004;5,78;8,6;283,464;7,3;8,9;6,3;3,7;31,6;8;8;4,18;0,018;0;0;0;0,012;0,001;0,005;0;0,002;0,002;0;0,024;0;0;33,5;14,9;20,2;79,8;0,206;1,1;2,5;
PG32500392;12.05.2004;;9,9;292,392;6,9;8,1;6,6;4,3;34,1;7,8;7,7;2,3;0,01;0;0;0;0,015;0,0005;0;0;0,002;0,0005;0;0,023;0;0;28,4;12,4;19,2;93,4;0,175;0,9;7;
PG32500392;11.08.2004;5,2;10,4;300,204;6,9;8,1;6,6;4,4;33,7;8;7,7;2,2;0,01;0;0;0;0,014;0,0005;0;0;0,002;0,001;0;0,035;0;0;28,7;13;21,2;95,2;0,144;0,7;15;
PG32500392;18.11.2004;5,77;10;294,624;7;8,3;6,8;3,9;35;8,4;8,3;2,2;0,012;0,0025;0;0;0,018;0;0;0;0,002;0,002;0;0,0424;0;0;28,5;12,6;29,5;84,2;0,161;1,1;3;
PG32500392;17.05.2005;6,74;10,5;290,16;6,9;8,1;5,7;3,3;27,6;8,1;7,8;1,9;0;0;;;;;;;;;;0,017;0;0;35,2;15,3;21,7;72;0,18;0,7;;
PG32500392;30.08.2005;5,23;10,5;294,624;6,7;7,9;5,9;3,5;29,2;7,7;7,8;2;0;0;;;;;;;;;;0,016;0;0;32,5;15,2;21,5;76,3;0,153;0,8;;
PG32500392;09.11.2005;5,19;10,1;301,32;7;9,1;6,8;4,6;35,1;8;8,1;2,1;0;0;;;;;;;;;;0,028;0,005;0;31,3;12,8;16,3;100;0,14;0,5;;
PG32500392;01.03.2006;5,58;8,7;301,32;6,9;8,2;6,6;3,8;33,2;8,4;7,7;2,17;0,03;0;;;;;;;;;;0,0157;0;0;34,8;14,1;22,4;82,4;0,17;0,5;;
PG32500392;09.05.2006;4,82;9,7;300,204;6,8;8,5;6,5;4,1;33,3;8,2;7,7;2,2;0;0;;;;;;;;;;0,0209;0;0;39,9;13,4;19,6;88,5;0,17;1;;
PG32500392;30.08.2006;5,2;10,3;305,784;6,6;6,4;6,7;3,8;33,4;8,7;8,5;2,3;0,005;0,015;;;;;;;;;;0,016;0;0;37,8;15,7;20,5;83;0,166;0,8;;
PG32500392;21.11.2006;5,42;10,1;312,48;6,8;6,9;6,8;4,3;34,6;8,3;7,9;2;0,005;0;;;;;;;;;;0,021;0,005;0;34;14,2;26;92,8;0,168;0,9;;
PG32500392;13.02.2007;5,32;9,4;274,536;6,9;7,6;6,25;3,86;31,8;7,7;8;1,9;0,005;0;;;;;;;;;;0,01;0;0;35,8;14,1;22,8;81,1;0,151;0,62;;
PG32500392;23.05.2007;;10;330;6,8;3,8;6,93;4,26;35,3;8,6;9,2;2;0,016;0;0;0;0,12;0,0005;0,004;0;0,0029;0,0018;0;0,01;0;0,0051;35,3;14,3;22,9;89,7;0,151;0,6;;
PG32500392;02.08.2007;5,64;10,5;340,38;6,8;5,4;6,96;4,2;36,4;8;7,9;1,9;0,005;0;;;;;;;;;;0,01;0;0,0026;34,8;15;22,8;88,5;0,158;0,69;;
PG32500392;26.11.2007;5,1;13,5;338;7;10,3;6,94;4,06;36,3;8;9,2;2,2;0,012;0;0;0;0,064;0,0005;0;0;0,004;0,0018;0,0005;0,01;0;0;35;13,9;23,2;85,4;0,181;0,88;;
PG32500392;03.06.2008;4,51;11,4;304,668;6,9;6,5;7,13;4,28;38,1;7,8;8,8;2;0,017;0,0025;0;0;0,0573;0;0;0;0,0025;0,001;0;0,01;0;0,0023;33,3;12,9;23;90,3;0,122;0,73;;
PG32500392;27.10.2008;5,79;9,9;298;6,7;5,3;6,48;3,36;30,6;9,5;8,4;2,3;0,005;0,0055;;;;;;;;;;0;0;0,004;41,4;17;22,1;70,2;0,096;0,73;;
PG32500392;09.04.2009;4,23;9,5;314,712;6,9;7;7,2;4,87;37,7;8,3;8,6;2;0,02;0,0025;0;0;0,0373;0,0005;0,004;0;0,0026;0,0012;0;0,01;0;0,0033;32,4;12,8;21,8;103;0,132;0,82;;
PG32500392;11.11.2009;4,93;9,5;296,856;6,9;6,2;7,18;4,56;37,3;8,5;9,3;1,7;0;0;;;;;;;;;;0,01;0;0,001;33,6;13,5;22,6;96,4;0,075;0,87;;
PG32500392;28.04.2010;4,49;10,7;332,568;6,9;5,45;7,4;4,68;38,6;8,5;8,7;2,06;0,005;0;0;0;0,065;0,0005;0;0;0,003;0,002;0;0,0153;0;0;36,6;13,4;29,6;102;0,134;1,1;;
PG32500392;12.10.2010;4,42;13,3;359,352;7,2;7;7,9;5,4;41,8;8,8;8,6;2,48;0,032;0;;;;;;;;;;0,0347;0;0;37,4;13;22,6;118;0,15;0,8;;
PG32500392;20.04.2011;8,5;11,5;295,74;7,1;5,9;6,5;3,08;30,6;9,7;9,1;2,6;0,011;0,0025;0;0;0,0396;0,0017;0;0,0005;0,0025;0,0016;0;0,005;0,005;0;41,9;17,4;18,2;67,1;0,124;0,5;;
PG32500392;10.10.2011;5,63;10,1;306,9;7;5,8;7;3,92;36,1;8,3;8,4;3;0,005;0,007;;;;;;;;;;0,024;0,012;0;41,72;16,44;24,1;85,4;0,186;1,4;;
PG32500392;18.04.2012;;9,9;310,248;6,5;7,5;6,8;3,58;33,6;9,3;8,7;2,8;0;0,005;0;0;0,0388;0,0032;0;0;0,0024;0,0016;0;0,011;0,044;0;44,7;17,2;23,7;78,1;0,129;0,7;;
PG32500392;15.10.2012;;9,9;312,48;7,3;;6,7;3,92;31,9;9,7;9,3;2,4;0;0,068;;;;;;;;;;0,005;0,005;0;44,27;18,5;24,1;85,4;0,161;0,5;;
PG32500392;04.07.2013;5,24;10,6;320,292;6,7;6,5;6,84;4,26;34,2;8,82;9,34;2,02;0,019;0,0025;0;0;0,0205;0,0028;0,004;0,0005;0,0028;0,0028;0;0,01;0,005;0,001;40,8;15,4;24,9;92,7;0,168;0,6;;
PG32500392;30.01.2014;5,61;9,4;316,944;6,9;8,8;7,22;3,78;37,7;8,35;9,84;1,99;0,043;0,0472;0;0;0,021;0,0019;0,01;0;0,0031;0,0022;0;0,01;0;0,001;41,8;14,9;25,3;82,4;0,16;0,58;;
PG32500392;12.03.2014;5,66;10;312,48;6,8;8,7;7,3;3,72;37,7;8,71;9,7;2,02;0,005;0;0;0;0,0204;0,0013;0;0;0,003;0,0017;0;0,01;0;0,0065;42,2;15,5;25,3;81,1;0,153;0,25;;
PG32500392;16.07.2014;6,5;11,1;316,944;6,7;5,6;7,16;3,53;35,9;9,21;10;2,12;0,005;0,0025;0;0;0,016;0,0013;0,004;0,0005;0,0027;0,0027;0;0,01;0;0,005;43,3;16,8;25,7;76,9;0,156;0,56;;
PG32500392;02.07.2015;;11,2;311,364;6,8;6,8;6,72;3,47;32,4;9,42;11,6;2,32;0,024;0,0213;0;0,000025;0,0235;0,0011;0;0,0005;0,003;0,0024;0;0,01;0;0,0043;43,6;15,6;26;75,6;0,154;0,55;;
PG32500392;01.06.2016;5,6;10,9;320,292;6,7;5,6;7,04;3,89;36,6;8,28;11,4;1,96;0,012;0,0025;0;0,000025;0,0622;0,0047;0,004;0;0,003;0,003;0;0,01;0;0,0037;43,9;15,1;26,4;84,8;0,155;0,65;;
PG32500392;03.03.2017;5,83;10,3;313,596;6,2;7;6,88;3,7;34,9;8,64;9,89;2;0;0;;;;;;;;;;0,01;0,062;0,003;43;14,9;26,3;80,5;0,143;1,81;;0
PG32500392;09.05.2017;;10,8;318,06;6,5;6,3;6,2;3,7;31;7,9;8,3;2,13;0,035;0,0025;0;0;0,0273;0,0065;0,005;0;0,0024;0,0016;0;0,021;0;0;42,7;16,07;26,6;81,2;0,181;1,3;;
PG32500392;29.05.2018;;14,4;498,852;7,3;7,59;10,6;8,6;52,1;14,5;10,1;3,24;0,04;0,012;0;0;0,0116;0,0018;0;0;0;0,0011;0;0,005;0,023;0;10,1;15,2;43,8;188;0,066;2;;
PG32500392;17.04.2019;5,2;10,7;329,22;6,76;9;7,2;4,31;36,3;9,15;8,99;1,75;0;0,0074;0;0;0,068;0,0045;0;0;0,0024;0,007;0;0,015;0;0;42,2;12,3;28,7;93,84;0,165;3,47;;0,049
PG32500392;10.07.2019;5,47;12,1;312,48;7,27;7,4;6,9;3,84;33,8;9,35;10,9;2,01;0,013;0,0194;0;0;0,0254;0,0073;0;0;0,0024;0,0026;0;0,014;0,013;0;42,2;13,1;25,2;83,72;0,195;2,76;;0,058
PG32500392;17.10.2019;6,33;11,6;314,712;6,63;5,5;7,34;3,82;37,1;9,37;9,7;1,77;0,0217;0,0141;0;0;0,0275;0,0063;0;0;0,0032;0,0025;0;0,005;0,012;0,005;42,8;15,4;28,8;83,35;0,169;0,96;;0,04
PG32500392;06.05.2020;5,72;11;316,944;6,5;5,8;6,8;4;34,5;8,6;9,5;1,8;0;0;0;0;0,0248;0,0051;0;0;0,0028;0,0015;0;0,012;0,005;0;42;15;28;87,5;0,17;0,89;;0,048
PG32500392;27.04.2021;5,62;10,6;315,97978;6,7;8,5;7,01179;4,284;35,36129;8,94572;10,64447;2,01054;0,0121;0,0005;0;0,0001;0,058483;0,00513;0,00504;0,00028;0,00327;0,00963;0,00016;0,01;0,0176;0,0025;35,925;12,585;25,214;93,33;0,1559;0,9983;;0,037
PG32500392;14.04.2022;6,15;11;320,292;6,7;7,6;7,13;3,56;36,3;8,88;10,3;1,85;0,005;0;0;0;0,0356;0,00463;0;0;0,00287;0,00223;0;0,01;0,005;0;42,4;14,6;27,2;77,5;0,151;0,6;;0,049
PG32500392;27.10.2022;6,2;11,8;320,292;7,1;5;6,93;3,59;33,3;9,85;9,35;1,94;0,0104;0;;;;;;;;;;0,01;0;0;44,6;14,8;30,2;78,1;0,15;0,73;;
PG32500392;17.04.2023;5,85;10,8;316,944;7,1;7;6,73;3,9;33,6;8,78;10,4;2,03;0,005;0;0;0;0,0118;0,00358;0,005;0;0,00294;0,00233;0;0,0244;0,005;0,01;42,1;13,6;29,1;84,8;0,171;0,93;;0,044
PG32500392;15.01.2024;4,6;10,1;329,22;6,7;9,2;7,02;3,93;36,1;8,55;10,1;2,1;0;0;;;;;;;;;;0,01;0,005;0;42,4;13,4;28,9;85,4;0,0754;0,68;;
PG32500392;08.04.2024;5,22;11,6;325,872;7,1;8,6;6,84;3,96;34,6;8,65;10,2;1,99;0,005;0;0;0;0,0025;0,00521;0;0,0005;0,00364;0,00223;0;0,01;0,018;0;41,7;13;29,3;86;0,165;2,2;;0,037
PG32500392;28.10.2024;5,06;12,5;318,06;5,99;7,5;7,48;4,18;39,2;8,67;11,8;2,17;0,005;0;;;;;;;;;;0,01;0,014;0,005;40,1;12;27,8;90,9;0,165;2,1;;
